#Stations within latitude (30.0, 50.0) and longitude (-126.0, -114.0)
#Net,Station,Lat,Long,Elev,Est.Thick,StdDev,Est.Vp/Vs,StdDev,AssumedVp,Vs,PoissonsRatio,NumEQ,Complexity
CI,GPO,35.65,-117.66,735 m,45.5 km,8.717 km,1.60,0.114,6.276 km/s,3.922 km/s,0.18,5,0.875
US,ISA,35.66,-118.47,873 m,29.25 km,7.584 km,1.95,0.133,6.1 km/s,3.124 km/s,0.32,14,0.683
XJ97,BVC,36.73,-117.86,483 m,29.25 km,0.651 km,1.72,0.038,6.279 km/s,3.645 km/s,0.25,4,0.383
TA,O05C,39.96,-120.92,1032 m,41.25 km,1.719 km,1.82,0.053,6.597 km/s,3.635 km/s,0.28,16,0.585
XL94,HFEB,36.36,-117.08,1650 m,27.25 km,0.485 km,1.77,0.034,6.279 km/s,3.552 km/s,0.26,7,0.278
BK,CMB,38.03,-120.39,697 m,56.5 km,8.674 km,1.74,0.057,6.597 km/s,3.803 km/s,0.25,271,0.840
CI,CHF,34.33,-118.03,1594 m,25.0 km,6.772 km,1.86,0.068,6.1 km/s,3.284 km/s,0.30,103,0.778
CI,BC3,33.66,-115.45,1.1 km,24.0 km,0.841 km,1.83,0.024,6.155 km/s,3.359 km/s,0.29,43,0.454
CI,BBR,34.26,-116.92,2069 m,28.75 km,2.39 km,1.96,0.070,6.276 km/s,3.202 km/s,0.32,28,0.510
TA,E03A,46.55,-123.56,0.1 km,31.75 km,1.197 km,1.66,0.123,6.566 km/s,3.961 km/s,0.21,3,0.446
BK,JRSC,37.40,-122.24,70 m,28.0 km,8.066 km,1.63,0.056,6.183 km/s,3.799 km/s,0.20,4,0.505
XC94,TOTE,47.72,-121.80,250 m,38.25 km,6.922 km,2.06,0.108,6.597 km/s,3.207 km/s,0.35,5,0.748
TS,SNCC,33.25,-119.52,227 m,30.0 km,2.005 km,1.60,0.014,6.048 km/s,3.78 km/s,0.18,19,0.559
TA,ELFS,40.62,-120.73,1.6 km,37.75 km,6.071 km,1.94,0.134,6.566 km/s,3.385 km/s,0.32,14,0.593
UW,LTY,47.26,-120.66,970 m,56.0 km,5.472 km,2.04,0.003,6.597 km/s,3.242 km/s,0.34,2,0.901
UO,PIN,43.81,-120.87,1860 m,50.5 km,12.072 km,2.10,0.085,6.597 km/s,3.149 km/s,0.35,18,0.775
TA,R07C,38.09,-119.05,1996 m,39.25 km,3.891 km,1.71,0.091,6.279 km/s,3.677 km/s,0.24,14,0.684
XJ97,TWR2,36.35,-118.41,1946 m,33.75 km,2.305 km,1.82,0.065,6.291 km/s,3.466 km/s,0.28,3,0.555
TS,DGR,33.65,-117.01,700 m,32.75 km,0.121 km,1.79,0.006,6.264 km/s,3.499 km/s,0.27,102,0.269
BK,CVS,38.35,-122.46,295 m,25.5 km,16.296 km,1.78,0.162,6.472 km/s,3.641 km/s,0.27,23,0.761
AZ,SHUM,33.63,-116.44,1195 m,29.5 km,0.289 km,1.71,0.014,6.264 km/s,3.668 km/s,0.24,16,0.171
TA,C04A,47.72,-122.97,0.1 km,36.75 km,3.828 km,1.88,0.160,6.566 km/s,3.502 km/s,0.30,4,0.488
CI,BEL,34.00,-116.00,1.4 km,28.25 km,0.551 km,1.75,0.014,6.276 km/s,3.576 km/s,0.26,39,0.476
TA,HAST,36.39,-121.55,542 m,28.0 km,6.457 km,1.73,0.039,6.391 km/s,3.689 km/s,0.25,30,0.430
IU,COR,44.59,-123.30,121 m,38.5 km,0.26 km,2.03,0.014,6.566 km/s,3.239 km/s,0.34,135,0.307
XC94,DOSW,47.74,-123.02,182 m,44.5 km,2.571 km,1.63,0.095,6.566 km/s,4.016 km/s,0.20,6,0.789
CI,USC,34.02,-118.29,58 m,53.75 km,8.269 km,2.06,0.091,6.1 km/s,2.968 km/s,0.34,10,0.759
CI,SHO,35.90,-116.28,451 m,29.25 km,1.058 km,1.85,0.083,6.276 km/s,3.388 km/s,0.29,38,0.599
XJ97,OVY,36.78,-118.33,2704 m,30.5 km,3.152 km,1.98,0.073,6.291 km/s,3.177 km/s,0.33,3,0.530
TS,CALB,34.14,-118.63,0.0 m,26.75 km,0.523 km,2.04,0.036,6.1 km/s,2.998 km/s,0.34,23,0.282
XJ97,SLC,36.52,-117.72,1918 m,31.25 km,1.454 km,1.84,0.107,6.279 km/s,3.408 km/s,0.29,5,0.488
LI,LTH,46.46,-119.42,157 m,33.25 km,2.27 km,1.84,0.044,6.419 km/s,3.498 km/s,0.29,23,0.403
BK,WDC,40.58,-122.54,268 m,25.0 km,0.456 km,1.72,0.018,6.566 km/s,3.818 km/s,0.24,26,0.547
CI,GRA,37.00,-117.37,689 m,35.5 km,0.361 km,2.02,0.017,6.279 km/s,3.112 km/s,0.34,31,0.400
AZ,BVDA2,33.33,-116.37,0.0 m,22.5 km,7.586 km,1.84,0.061,6.264 km/s,3.4 km/s,0.29,11,0.616
CI,BAK,35.34,-119.10,116 m,39.0 km,13.274 km,1.63,0.062,6.1 km/s,3.737 km/s,0.20,3,0.539
BK,MNRC,38.88,-122.44,710 m,25.0 km,15.548 km,1.60,0.096,6.472 km/s,4.039 km/s,0.18,14,0.837
TA,HELL,36.68,-119.02,1145 m,47.0 km,2.705 km,1.89,0.053,6.291 km/s,3.333 km/s,0.30,14,0.190
XJ97,CCC,36.58,-118.79,1560 m,43.75 km,3.343 km,1.70,0.080,6.291 km/s,3.701 km/s,0.24,2,0.502
XN00,PAKD,35.98,-120.56,695 m,24.25 km,3.192 km,2.09,0.205,6.183 km/s,2.955 km/s,0.35,2,0.746
CI,CIU,33.45,-118.48,233 m,23.0 km,20.353 km,1.75,0.124,6.048 km/s,3.461 km/s,0.26,5,0.397
CI,SNCC,33.25,-119.52,197 m,31.5 km,7.669 km,1.60,0.218,6.048 km/s,3.78 km/s,0.18,42,0.779
CI,LRL,35.48,-117.68,1340 m,31.0 km,0.318 km,1.75,0.010,6.276 km/s,3.591 km/s,0.26,35,0.294
CI,VES,35.84,-119.08,0.2 km,35.25 km,7.116 km,1.83,0.144,6.1 km/s,3.329 km/s,0.29,13,0.816
CI,ISA,35.66,-118.47,873 m,48.25 km,5.874 km,1.60,0.111,6.1 km/s,3.812 km/s,0.18,183,0.845
CI,VTV,34.56,-117.33,843 m,32.25 km,1.349 km,1.69,0.019,6.276 km/s,3.708 km/s,0.23,75,0.554
BK,HOPS,38.99,-123.07,299 m,34.25 km,6.561 km,1.63,0.057,6.472 km/s,3.97 km/s,0.20,14,0.356
XJ97,FLL,37.28,-118.97,2237 m,29.5 km,6.25 km,2.09,0.128,6.291 km/s,3.007 km/s,0.35,10,0.709
TS,SBC,34.44,-119.71,90 m,28.25 km,12.421 km,1.92,0.104,6.1 km/s,3.177 km/s,0.31,23,0.666
US,MNV,38.43,-118.15,1524 m,35.5 km,0.637 km,1.73,0.021,6.279 km/s,3.629 km/s,0.25,59,0.442
XH94,MLC,38.99,-116.77,2292 m,37.5 km,9.148 km,1.60,0.122,6.276 km/s,3.916 km/s,0.18,11,0.754
XL94,HF00,36.36,-117.14,1526 m,29.5 km,12.949 km,1.81,0.098,6.279 km/s,3.469 km/s,0.28,7,0.700
TA,S06C,37.88,-119.85,1377 m,46.25 km,4.692 km,1.93,0.165,6.291 km/s,3.26 km/s,0.32,9,0.609
XJ97,DP00,36.26,-117.66,1725 m,32.0 km,2.382 km,1.75,0.062,6.279 km/s,3.598 km/s,0.26,11,0.440
